User_ID,Food_ID,Rating
1,88,4
1,46,3
1,24,5
1,25,4
2,49,1
2,33,8
2,106,9
2,71,8
3,73,9
3,110,10
3,168,1
3,201,8
3,209,6
3,46,2
3,65,3
3,292,8
3,299,1
4,14,5
4,141,5
4,170,1
4,212,10
4,128,6
4,21,1
5,52,9
5,64,2
5,198,10
5,241,9
5,8,6
5,27,6
6,22,5
6,185,7
6,207,2
6,213,6
7,131,5
7,109,10
7,116,8
7,220,3
7,21,9
7,31,10
8,101,8
8,138,9
8,140,4
8,201,3
8,242,3
8,224,9
8,128,4
8,163,5
9,15,1
9,60,5
9,91,5
9,2,3
9,180,2
9,182,4
9,184,6
9,244,3
10,70,5
10,44,10
10,227,2
10,100,4
10,250,2
11,35,4
11,154,3
11,258,10
11,200,10
11,274,2
11,48,5
12,38,4
12,169,4
13,74,8
13,127,10
14,17,3
14,51,9
14,87,8
14,134,7
14,267,5
14,272,1
15,29,7
15,116,6
15,130,5
15,149,1
15,43,3
15,214,7
15,238,6
15,29,9
16,243,3
16,10,4
16,270,3
16,282,10
16,291,1
17,23,4
17,58,7
17,114,1
17,8,5
17,251,5
17,278,8
17,7,4
18,18,5
18,133,8
18,153,7
18,37,2
18,31,7
18,17,6
19,9,9
19,11,4
19,211,1
19,249,10
19,84,10
20,46,6
20,261,8
21,13,9
21,42,9
21,126,1
21,230,3
21,185,2
21,280,5
22,165,2
22,2,5
22,127,6
22,53,3
22,275,4
23,26,6
23,223,5
24,23,2
24,193,8
24,51,5
25,55,5
25,63,9
25,57,10
25,178,3
25,287,3
26,15,9
26,104,6
26,55,5
26,45,5
27,161,2
27,213,3
27,273,10
27,207,4
27,86,4
27,54,1
27,279,9
28,54,7
28,162,9
28,50,10
28,5,10
29,34,5
29,200,9
29,281,1
29,300,9
30,53,6
30,304,1
31,80,1
31,129,5
31,150,9
31,188,10
31,74,5
31,232,8
31,240,3
31,230,8
31,264,6
31,285,9
32,32,4
32,39,7
32,71,1
32,94,10
32,127,9
32,91,2
32,244,8
32,263,1
32,143,1
32,290,7
32,309,5
33,166,4
33,248,10
34,163,6
34,65,4
34,12,2
35,28,5
35,147,3
35,68,3
35,15,1
36,25,8
36,45,6
36,96,7
36,155,10
36,49,2
36,212,3
36,16,7
36,23,1
36,184,10
36,19,5
37,98,6
37,191,1
37,218,7
37,283,3
38,42,7
38,160,2
38,130,3
38,243,4
38,186,8
39,2,10
39,28,2
39,30,6
39,86,4
39,175,5
39,195,4
39,256,5
39,50,7
39,5,10
40,111,2
41,4,6
41,100,3
41,51,3
41,259,2
42,84,2
42,196,9
42,284,4
42,294,4
42,296,10
43,34,8
43,6,10
43,72,5
43,85,10
43,174,6
43,213,8
43,32,6
43,11,4
44,245,10
44,295,10
45,47,2
45,57,3
45,10,6
45,108,3
45,181,3
45,208,5
45,236,2
46,102,6
46,59,3
46,136,10
46,236,4
46,68,4
46,184,7
47,19,1
47,62,8
47,225,3
47,199,2
47,49,10
48,7,5
48,58,1
48,119,8
48,172,8
48,85,3
48,9,3
49,1,5
49,21,3
49,77,10
49,139,10
49,171,8
49,205,3
49,44,3
49,276,10
49,6,6
50,19,9
50,81,8
50,95,2
50,57,7
50,158,6
50,167,2
50,225,3
51,136,6
51,151,10
51,53,4
52,44,10
52,187,8
52,69,6
52,254,2
52,268,3
52,211,1
53,128,2
53,189,7
53,190,10
53,226,8
53,22,3
54,65,7
54,109,10
54,113,6
54,146,4
54,25,3
54,204,2
54,100,1
54,259,9
54,255,1
54,301,1
55,52,5
55,90,2
55,121,3
55,117,7
55,163,2
55,13,1
55,288,3
56,289,9
56,298,4
56,305,9
57,33,3
57,78,8
57,75,7
57,164,6
57,67,1
